Update UTC,Dates,Locaton,New Cases,Cumul. Cases,New Deaths,Cumul. Deaths,Death Rate,% Case Growth daily,% Deaths Growth daily,Week,Month,Country,GeoRegion,Note,CountryPopulation,Density p/km,Cases % population
4/10/2020,4/10/2020,Haiti,0,30,0,2,6.667,0,0,Week 19 Apr 05 - Apr 11,2020 April,Haiti,Caribbean,,11402528,414,0
4/10/2020,4/10/2020,Myanmar,4,27,0,3,11.111,17,0,Week 19 Apr 05 - Apr 11,2020 April,Myanmar,Asia,,54409800,83,0
4/10/2020,4/10/2020,Benin,0,26,0,1,3.846,0,0,Week 19 Apr 05 - Apr 11,2020 April,Benin,Africa,,12123200,108,0
4/10/2020,4/10/2020,Tanzania,0,25,0,1,4,0,0,Week 19 Apr 05 - Apr 11,2020 April,Tanzania,Africa,,59734218,67,0
4/10/2020,4/10/2020,Libya,0,24,0,1,4.167,0,0,Week 19 Apr 05 - Apr 11,2020 April,Libya,Africa,,6871292,4,0
4/10/2020,4/10/2020,Maldives,0,19,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Maldives,Asia,,540544,1802,0.004
4/10/2020,4/10/2020,Angola,0,19,0,2,10.526,0,0,Week 19 Apr 05 - Apr 11,2020 April,Angola,Africa,,32866272,26,0
4/10/2020,4/10/2020,Syria,0,19,0,2,10.526,0,0,Week 19 Apr 05 - Apr 11,2020 April,Syria,Middle East,,17500658,95,0
4/10/2020,4/10/2020,Antigua and Barbuda,0,19,0,2,10.526,0,0,Week 19 Apr 05 - Apr 11,2020 April,Antigua and Barbuda,Caribbean,,97929,223,0.019
4/10/2020,4/10/2020,New Caledonia,0,18,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,New Caledonia,Oceania,,285498,16,0.006
4/10/2020,4/10/2020,Equatorial Guinea,0,18,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Equatorial Guinea,Africa,,1402985,50,0.001
4/10/2020,4/10/2020,Mozambique,0,17,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Mozambique,Africa,,31255435,40,0
4/10/2020,4/10/2020,Mongolia,0,16,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Mongolia,Asia,,3278290,2,0
4/10/2020,4/10/2020,Dominica,1,16,0,0,0,7,,Week 19 Apr 05 - Apr 11,2020 April,Dominica,Caribbean,,71986,96,0.022
4/10/2020,4/10/2020,Fiji,1,16,0,0,0,7,,Week 19 Apr 05 - Apr 11,2020 April,Fiji,Oceania,,896445,49,0.002
4/10/2020,4/10/2020,Laos,0,16,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Laos,Asia,,7275560,32,0
4/10/2020,4/10/2020,Namibia,0,16,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Namibia,Africa,,2540905,3,0.001
4/10/2020,4/10/2020,Sudan,15,15,2,2,13.333,,,Week 19 Apr 05 - Apr 11,2020 April,Sudan,Africa,,43849260,25,0
4/10/2020,4/10/2020,Curaçao,0,14,0,1,7.143,0,0,Week 19 Apr 05 - Apr 11,2020 April,Curaçao,Caribbean,,164093,370,0.009
4/10/2020,4/10/2020,Saint Lucia,0,14,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Saint Lucia,Caribbean,,183627,301,0.008
4/10/2020,4/10/2020,Botswana,0,13,0,1,7.692,0,0,Week 19 Apr 05 - Apr 11,2020 April,Botswana,Africa,,2351627,4,0.001
4/10/2020,4/10/2020,Somalia,0,12,0,1,8.333,0,0,Week 19 Apr 05 - Apr 11,2020 April,Somalia,Africa,,15893222,25,0
4/10/2020,4/10/2020,Eswatini,0,12,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,eSwatini,Africa,,1160164,67,0.001
4/10/2020,4/10/2020,Grenada,0,12,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Grenada,Caribbean,,112523,331,0.011
4/10/2020,4/10/2020,St. Vincent Grenadines,0,12,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Saint Vincent and the Grenadines,Caribbean,,110940,264,0.011
4/10/2020,4/10/2020,Zimbabwe,0,11,0,3,27.273,0,0,Week 19 Apr 05 - Apr 11,2020 April,Zimbabwe,Africa,,14862924,38,0
4/10/2020,4/10/2020,Chad,0,11,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Chad,Africa,,16425864,13,0
4/10/2020,4/10/2020,Greenland,0,11,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Greenland,Europe,,56770,0,0.019
4/10/2020,4/10/2020,Seychelles,0,11,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Seychelles,Africa,,98347,214,0.011
4/10/2020,4/10/2020,Saint Kitts and Nevis,0,11,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Saint Kitts & Nevis,Caribbean,,53199,205,0.021
4/10/2020,4/10/2020,Suriname,0,10,0,1,10,0,0,Week 19 Apr 05 - Apr 11,2020 April,Suriname,South America,,586632,4,0.002
4/10/2020,4/10/2020,Nepal,0,9,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Nepal,Asia,,29136808,203,0
4/10/2020,4/10/2020,Montserrat,0,9,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Montserrat,Caribbean,,4992,50,0.18
4/10/2020,4/10/2020,Belize,0,9,0,1,11.111,0,0,Week 19 Apr 05 - Apr 11,2020 April,Belize,Central America,,397628,17,0.002
4/10/2020,4/10/2020,Malawi,1,9,0,1,11.111,13,0,Week 19 Apr 05 - Apr 11,2020 April,Malawi,Africa,,19129952,203,0
4/10/2020,4/10/2020,MS Zaandam,0,9,0,2,22.222,0,0,Week 19 Apr 05 - Apr 11,2020 April,Cruise Ship,Cruise ship,,,,Infinity
4/10/2020,4/10/2020,CAR,0,8,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Central African Republic,Africa,,4829767,8,0
4/10/2020,4/10/2020,Turks and Caicos,0,8,0,1,12.5,0,0,Week 19 Apr 05 - Apr 11,2020 April,Turks and Caicos Islands,Caribbean,,38717,41,0.021
4/10/2020,4/10/2020,Vatican City,0,8,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Vatican City,Europe,,801,2,0.999
4/10/2020,4/10/2020,Cabo Verde,0,7,0,1,14.286,0,0,Week 19 Apr 05 - Apr 11,2020 April,Cabo Verde,Africa,,,138,Infinity
4/10/2020,4/10/2020,Mauritania,0,7,0,1,14.286,0,0,Week 19 Apr 05 - Apr 11,2020 April,Mauritania,Africa,,4649658,5,0
4/10/2020,4/10/2020,Nicaragua,0,7,0,1,14.286,0,0,Week 19 Apr 05 - Apr 11,2020 April,Nicaragua,Central America,,6624554,55,0
4/10/2020,4/10/2020,Sierra Leone,0,7,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Sierra Leone,Africa,,7976983,111,0
4/10/2020,4/10/2020,St. Barth,0,6,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,St. Barth,Caribbean,,9877,470,0.061
4/10/2020,4/10/2020,Bhutan,0,5,0,0,0,0,,Week 19 Apr 05 - Apr 11,2020 April,Bhutan,Asia,,771608,20,0.001
